#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/dmi.long.data
#Detail: IOD (DMI from the HadISST)
#Detail: Monthly time step
Year,Month,Value
1978,5,-0.327
1978,6,0.020
1978,7,0.194
1978,8,0.082
1978,9,0.126
1978,10,-0.122
1978,11,-0.188
1978,12,-0.029
1979,1,0.494
1979,2,0.025
1979,3,0.130
1979,4,-0.015
1979,5,-0.234
1979,6,0.304
1979,7,-0.010
1979,8,0.063
1979,9,0.103
1979,10,0.063
1979,11,0.015
1979,12,0.126
1980,1,0.025
1980,2,-0.021
1980,3,-0.251
1980,4,0.103
1980,5,0.148
1980,6,-0.171
1980,7,-0.339
1980,8,-0.513
1980,9,-0.350
1980,10,-0.282
1980,11,-0.162
1980,12,-0.264
1981,1,-0.020
1981,2,0.148
1981,3,0.186
1981,4,0.280
1981,5,0.189
1981,6,-0.032
1981,7,-0.247
1981,8,-0.323
1981,9,-0.363
1981,10,-0.228
1981,11,-0.063
1981,12,0.211
1982,1,0.327
1982,2,0.350
1982,3,0.218
1982,4,0.312
1982,5,0.434
1982,6,0.460
1982,7,0.574
1982,8,0.547
1982,9,0.820
1982,10,0.990
1982,11,0.541
1982,12,0.064
1983,1,-0.297
1983,2,-0.405
1983,3,-0.582
1983,4,-0.353
1983,5,0.157
1983,6,0.579
1983,7,0.832
1983,8,0.642
1983,9,0.314
1983,10,0.089
1983,11,-0.070
1983,12,0.131
1984,1,-0.038
1984,2,0.033
1984,3,0.049
1984,4,0.252
1984,5,-0.083
1984,6,-0.143
1984,7,-0.049
1984,8,-0.194
1984,9,-0.216
1984,10,-0.272
1984,11,-0.148
1984,12,-0.046
1985,1,-0.278
1985,2,-0.446
1985,3,-0.370
1985,4,-0.007
1985,5,-0.010
1985,6,-0.416
1985,7,-0.090
1985,8,-0.158
1985,9,0.144
1985,10,-0.124
1985,11,0.338
1985,12,-0.191
1986,1,0.073
1986,2,0.044
1986,3,-0.034
1986,4,-0.089
1986,5,0.058
1986,6,-0.073
1986,7,-0.242
1986,8,-0.111
1986,9,0.229
1986,10,0.318
1986,11,0.015
1986,12,-0.052
1987,1,0.097
1987,2,0.222
1987,3,0.024
1987,4,0.040
1987,5,0.381
1987,6,0.312
1987,7,0.508
1987,8,0.585
1987,9,0.766
1987,10,0.620
1987,11,0.210
1987,12,0.377
1988,1,0.532
1988,2,0.029
1988,3,-0.146
1988,4,0.070
1988,5,-0.293
1988,6,-0.057
