#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/soi.long.data
#Detail: SOI
#Detail: Monthly time step
Year,Month,Value
1942,6,0.800
1942,7,-0.080
1942,8,0.300
1942,9,0.820
1942,10,0.700
1942,11,-0.640
1942,12,1.420
1943,1,0.880
1943,2,0.910
1943,3,0.290
1943,4,1.590
1943,5,0.250
1943,6,-1.130
1943,7,0.300
1943,8,0.690
1943,9,0.530
1943,10,0.790
1943,11,0.220
1943,12,-1.060
1944,1,-0.950
1944,2,0.300
1944,3,0.460
1944,4,-0.540
1944,5,0.020
1944,6,-0.610
1944,7,-0.850
1944,8,0.130
1944,9,0.220
1944,10,-1.030
1944,11,-0.840
1944,12,0.360
1945,1,0.430
1945,2,0.530
1945,3,1.330
1945,4,-0.730
1945,5,0.020
1945,6,0.800
1945,7,0.390
1945,8,1.060
1945,9,0.800
1945,10,0.210
1945,11,-0.450
1945,12,0.630
1946,1,-0.320
1946,2,0.290
1946,3,-0.380
1946,4,-1.030
1946,5,-1.190
1946,6,-1.320
1946,7,-0.990
1946,8,-0.640
1946,9,-1.580
1946,10,-1.380
1946,11,-0.250
1946,12,-0.710
1947,1,-0.630
1947,2,-0.560
1947,3,1.130
1947,4,-0.560
1947,5,-1.240
1947,6,0.160
1947,7,0.980
1947,8,0.660
1947,9,1.100
1947,10,-0.350
1947,11,0.750
1947,12,0.470
1948,1,-0.430
1948,2,-0.410
1948,3,-0.600
1948,4,0.260
1948,5,0.350
1948,6,-0.760
1948,7,0.100
1948,8,-0.550
1948,9,-0.760
1948,10,0.540
1948,11,0.190
1948,12,-0.720
1949,1,-0.860
1949,2,0.050
1949,3,0.490
1949,4,0.280
1949,5,-0.680
1949,6,-1.600
1949,7,-0.150
1949,8,-0.640
1949,9,0.170
1949,10,0.380
1949,11,-0.770
1949,12,0.770
1950,1,0.540
1950,2,1.580
1950,3,1.790
1950,4,1.670
1950,5,0.550
1950,6,3.060
1950,7,2.140
1950,8,1.140
1950,9,0.630
1950,10,1.680
1950,11,0.890
1950,12,2.460
1951,1,1.320
1951,2,0.470
1951,3,-0.710
1951,4,-1.030
1951,5,-1.290
1951,6,-0.520
1951,7,-1.330
1951,8,-0.750
1951,9,-1.170
1951,10,-1.440
1951,11,-0.980
1951,12,-0.900
1952,1,-0.920
1952,2,-0.830
1952,3,-0.020
1952,4,-0.730
1952,5,0.670
1952,6,0.780
1952,7,0.510
1952,8,-0.380
1952,9,-0.240
1952,10,0.120
1952,11,-0.220
1952,12,-1.400
1953,1,0.120
1953,2,-0.720
1953,3,-0.790
1953,4,-0.180
1953,5,-2.720
1953,6,-0.470
1953,7,-0.060
1953,8,-1.890
1953,9,-1.350
1953,10,-0.180
1953,11,-0.360
1953,12,-0.610
1954,1,0.570
1954,2,-0.520
1954,3,-0.310
1954,4,0.410
1954,5,0.150
1954,6,-0.490
1954,7,0.360
1954,8,0.900
1954,9,0.170
1954,10,0.090
1954,11,0.160
1954,12,1.310
1955,1,-0.680
1955,2,1.300
1955,3,0.130
1955,4,-0.810
1955,5,0.880
1955,6,1.630
1955,7,1.800
1955,8,1.380
1955,9,1.400
1955,10,1.510
1955,11,1.380
1955,12,0.910
1956,1,1.160
1956,2,1.100
1956,3,0.890
1956,4,1.060
1956,5,1.440
1956,6,1.260
1956,7,1.190
1956,8,1.050
1956,9,0.060
1956,10,1.920
1956,11,0.110
1956,12,0.990
1957,1,0.430
1957,2,-0.360
1957,3,-0.370
1957,4,0.050
1957,5,-1.180
1957,6,-0.370
1957,7,0.180
1957,8,-1.080
1957,9,-1.010
1957,10,-0.090
1957,11,-1.230
1957,12,-0.440
1958,1,-1.890
1958,2,-0.780
1958,3,-0.320
1958,4,0.030
1958,5,-1.390
1958,6,-0.270
1958,7,0.230
1958,8,0.720
1958,9,-0.340
1958,10,-0.560
1958,11,-0.610
1958,12,-0.840
1959,1,-0.940
1959,2,-1.500
1959,3,0.770
1959,4,0.350
1959,5,0.140
1959,6,-0.960
1959,7,-0.470
1959,8,-0.680
1959,9,-0.010
1959,10,0.340
1959,11,0.900
1959,12,0.810
1960,1,-0.050
1960,2,-0.250
1960,3,0.470
1960,4,0.790
1960,5,0.300
1960,6,-0.470
1960,7,0.500
1960,8,0.530
1960,9,0.650
1960,10,-0.200
1960,11,0.600
1960,12,0.630
1961,1,-0.430
1961,2,0.580
1961,3,-2.470
1961,4,1.150
1961,5,0.180
1961,6,-0.530
1961,7,0.180
