climate_index,DatasetID,ccf,catchment,Proxy_Timespan,StartYear,EndYear,maxcorr,lag_match
et_morton_potential__1yr_wy7,Dataset_392.3,0.489261761,daintree,587.32,1423.23,2010.55,0.489261761,3
et_morton_potential__1yr_wy7,Dataset_437,0.478273198,daintree,861,1144,2005,0.478273198,4
et_morton_potential__1yr_wy7,Dataset_454,0.466547079,daintree,1117.9,881.2,1999.1,0.466547079,-5
et_morton_potential__1yr_wy7,Dataset_342,0.430208377,daintree,1382,627,2009,0.430208377,-5
et_morton_potential__1yr_wy7,Dataset_148,0.418843808,daintree,215,1781.5,1996.5,0.418843808,-1
et_morton_potential__1yr_wy7,Dataset_149,0.418843808,daintree,215,1781.5,1996.5,0.418843808,-1
et_morton_potential__1yr_wy7,Dataset_156,0.416279804,daintree,542,1457,1999,0.416279804,0
et_morton_potential__1yr_wy7,Dataset_269,0.409255393,daintree,373,1612,1985,0.409255393,-1
et_morton_potential__1yr_wy7,Dataset_242,0.406929373,daintree,225,1776,2001,0.406929373,-1
et_morton_potential__1yr_wy7,Dataset_466,0.393032061,daintree,1278.3,718.1,1996.4,0.393032061,-4
et_morton_potential__1yr_wy7,Dataset_266,0.385690651,daintree,347,1646,1993,0.385690651,0
et_morton_potential__1yr_wy7,Dataset_249,0.385424194,daintree,234,1762,1996,0.385424194,-1
et_morton_potential__1yr_wy7,Dataset_144.2,0.382461181,daintree,389.9609807,1572.984119,1962.9451,0.382461181,-3
et_morton_potential__1yr_wy7,Dataset_340,0.380406284,daintree,3712,-1704,2008,0.380406284,-1
et_morton_potential__1yr_wy7,Dataset_586,0.374008204,daintree,443,1551,1994,0.374008204,1
et_morton_potential__1yr_wy7,Dataset_153,0.367470966,daintree,384,1617.5,2001.5,0.367470966,-1
et_morton_potential__1yr_wy7,Dataset_154,0.367470966,daintree,384,1617.5,2001.5,0.367470966,-1
rain__1yr_wy7,Dataset_269,0.461187676,daintree,373,1612,1985,0.461187676,-1
rain__1yr_wy7,Dataset_457,0.379191868,daintree,1279.2,727.9,2007.1,0.379191868,4
rain__1yr_wy7,Dataset_252,0.379017632,daintree,270,1726.78,1996.91,0.379017632,3
rain__1yr_wy7,Dataset_157,0.371695087,daintree,235,1758,1993,0.371695087,3
rain__1yr_wy7,Dataset_153,0.358763106,daintree,384,1617.5,2001.5,0.358763106,-1
rain__1yr_wy7,Dataset_154,0.358763106,daintree,384,1617.5,2001.5,0.358763106,-1
rain__1yr_wy7,Dataset_237,0.358376634,daintree,451,1547,1998,0.358376634,5
rain__1yr_wy7,Dataset_467,0.357069719,daintree,1278.3,718.1,1996.4,0.357069719,-2
rain__1yr_wy7,Dataset_148,0.356535143,daintree,215,1781.5,1996.5,0.356535143,-1
rain__1yr_wy7,Dataset_149,0.356535143,daintree,215,1781.5,1996.5,0.356535143,-1
spei_12m__1yr_wy7__QFCD_D3,Dataset_148,0.42996644,daintree,215,1781.5,1996.5,0.42996644,0
spei_12m__1yr_wy7__QFCD_D3,Dataset_149,0.42996644,daintree,215,1781.5,1996.5,0.42996644,0
spei_12m__1yr_wy7__QFCD_D3,Dataset_467,0.429346001,daintree,1278.3,718.1,1996.4,0.429346001,5
spei_12m__1yr_wy7__QFCD_D3,Dataset_335,0.400448865,daintree,1149,851,2000,0.400448865,3
spei_12m__1yr_wy7__QFCD_D3,Dataset_266,0.391428676,daintree,347,1646,1993,0.391428676,-3
spei_12m__1yr_wy7__QFCD_D3,Dataset_265,0.387429786,daintree,347,1646,1993,0.387429786,0
spei_12m__1yr_wy7__QFCD_D3,Dataset_157,0.384832187,daintree,235,1758,1993,0.384832187,0
spei_12m__1yr_wy7__QFCD_D3,Dataset_153,0.378311383,daintree,384,1617.5,2001.5,0.378311383,0
spei_12m__1yr_wy7__QFCD_D3,Dataset_154,0.378311383,daintree,384,1617.5,2001.5,0.378311383,0
spei_12m__1yr_wy7__QFCD_D3,Dataset_339,0.375143899,daintree,868,1140,2008,0.375143899,5
spei_12m__1yr_wy7__QFCD_D3,Dataset_150,0.367800523,daintree,215,1781.5,1996.5,0.367800523,-4
spei_12m__1yr_wy7__QFCD_D3,Dataset_151,0.367800523,daintree,215,1781.5,1996.5,0.367800523,-4
spei_12m__1yr_wy7,Dataset_269,0.475823369,daintree,373,1612,1985,0.475823369,-1
spei_12m__1yr_wy7,Dataset_457,0.382623241,daintree,1279.2,727.9,2007.1,0.382623241,4
spei_12m__1yr_wy7,Dataset_157,0.381455003,daintree,235,1758,1993,0.381455003,3
spei_12m__1yr_wy7,Dataset_252,0.380839592,daintree,270,1726.78,1996.91,0.380839592,3
spei_12m__1yr_wy7,Dataset_148,0.377410161,daintree,215,1781.5,1996.5,0.377410161,-1
spei_12m__1yr_wy7,Dataset_149,0.377410161,daintree,215,1781.5,1996.5,0.377410161,-1
spei_12m__1yr_wy7,Dataset_153,0.37150972,daintree,384,1617.5,2001.5,0.37150972,-1
spei_12m__1yr_wy7,Dataset_154,0.37150972,daintree,384,1617.5,2001.5,0.37150972,-1
spei_12m__1yr_wy7,Dataset_437,0.37142576,daintree,861,1144,2005,0.37142576,4
spei_12m__1yr_wy7,Dataset_467,0.364168312,daintree,1278.3,718.1,1996.4,0.364168312,-4
spei_12m__1yr_wy7,Dataset_156,0.363188869,daintree,542,1457,1999,0.363188869,0
spei_12m__1yr_wy7,Dataset_237,0.361765662,daintree,451,1547,1998,0.361765662,5
spei_24m__1yr_wy7__QFCD_D3,Dataset_536,0.524532439,daintree,2078.7,-95.3,1983.4,0.524532439,-4
spei_24m__1yr_wy7__QFCD_D3,Dataset_441,0.493902251,daintree,2079.1,-95.1,1984,0.493902251,-4
spei_24m__1yr_wy7__QFCD_D3,Dataset_467,0.481699773,daintree,1278.3,718.1,1996.4,0.481699773,4
spei_24m__1yr_wy7__QFCD_D3,Dataset_266,0.448615251,daintree,347,1646,1993,0.448615251,-3
spei_24m__1yr_wy7__QFCD_D3,Dataset_339,0.439128901,daintree,868,1140,2008,0.439128901,1
spei_24m__1yr_wy7__QFCD_D3,Dataset_265,0.436984645,daintree,347,1646,1993,0.436984645,-3
spei_24m__1yr_wy7__QFCD_D3,Dataset_157,0.436741191,daintree,235,1758,1993,0.436741191,4
spei_24m__1yr_wy7__QFCD_D3,Dataset_236,0.38812103,daintree,528,1463,1991,0.38812103,5
spei_24m__1yr_wy7__QFCD_D3,Dataset_148,0.381524067,daintree,215,1781.5,1996.5,0.381524067,-4
spei_24m__1yr_wy7__QFCD_D3,Dataset_149,0.381524067,daintree,215,1781.5,1996.5,0.381524067,-4
spei_24m__1yr_wy7__QFCD_D3,Dataset_150,0.367181915,daintree,215,1781.5,1996.5,0.367181915,-2
spei_24m__1yr_wy7__QFCD_D3,Dataset_151,0.367181915,daintree,215,1781.5,1996.5,0.367181915,-2
spei_24m__1yr_wy7__QFCD_D3,Dataset_252,0.36392879,daintree,270,1726.78,1996.91,0.36392879,3
spei_24m__1yr_wy7,Dataset_375,0.510129985,daintree,275.1,1711.5,1986.6,0.510129985,-5
spei_24m__1yr_wy7,Dataset_454,0.505022439,daintree,1117.9,881.2,1999.1,0.505022439,0
spei_24m__1yr_wy7,Dataset_467,0.471151917,daintree,1278.3,718.1,1996.4,0.471151917,-1
spei_24m__1yr_wy7,Dataset_252,0.470048567,daintree,270,1726.78,1996.91,0.470048567,3
spei_24m__1yr_wy7,Dataset_457,0.469008663,daintree,1279.2,727.9,2007.1,0.469008663,4
spei_24m__1yr_wy7,Dataset_157,0.451395388,daintree,235,1758,1993,0.451395388,4
spei_24m__1yr_wy7,Dataset_148,0.447746137,daintree,215,1781.5,1996.5,0.447746137,-1
spei_24m__1yr_wy7,Dataset_149,0.447746137,daintree,215,1781.5,1996.5,0.447746137,-1
spei_24m__1yr_wy7,Dataset_266,0.435448042,daintree,347,1646,1993,0.435448042,-5
spei_24m__1yr_wy7,Dataset_156,0.432115352,daintree,542,1457,1999,0.432115352,0
spei_24m__1yr_wy7,Dataset_586,0.431226453,daintree,443,1551,1994,0.431226453,-4
spei_24m__1yr_wy7,Dataset_335,0.424564974,daintree,1149,851,2000,0.424564974,3
spei_24m__1yr_wy7,Dataset_437,0.415580194,daintree,861,1144,2005,0.415580194,4
spei_24m__1yr_wy7,Dataset_153,0.410908994,daintree,384,1617.5,2001.5,0.410908994,-1
spei_24m__1yr_wy7,Dataset_154,0.410908994,daintree,384,1617.5,2001.5,0.410908994,-1
spei_24m__1yr_wy7,Dataset_265,0.406787808,daintree,347,1646,1993,0.406787808,-5
spei_24m__1yr_wy7,Dataset_464,0.405812292,daintree,1278.3,718.1,1996.4,0.405812292,-3
spei_24m__1yr_wy7,Dataset_342,0.404756045,daintree,1382,627,2009,0.404756045,-5
spei_24m__1yr_wy7,Dataset_465,0.404005239,daintree,1278.3,718.1,1996.4,0.404005239,-4
spei_24m__1yr_wy7,Dataset_144.3,0.383234947,daintree,446.3,1557.2,2003.5,0.383234947,2
spei_24m__1yr_wy7,Dataset_237,0.382665296,daintree,451,1547,1998,0.382665296,5
spei_24m__1yr_wy7,Dataset_277,0.374770306,daintree,335,1657.75,1992.75,0.374770306,2
spei_24m__1yr_wy7,Dataset_144.4,0.371500699,daintree,389.9609807,1572.984119,1962.9451,0.371500699,2
spei_24m__1yr_wy7,Dataset_240,0.359855769,daintree,374,1607,1981,0.359855769,2
spei_36m__1yr_wy7__QFCD_D3,Dataset_335,0.480035543,daintree,1149,851,2000,0.480035543,-2
spei_36m__1yr_wy7__QFCD_D3,Dataset_150,0.432174124,daintree,215,1781.5,1996.5,0.432174124,-3
spei_36m__1yr_wy7__QFCD_D3,Dataset_151,0.432174124,daintree,215,1781.5,1996.5,0.432174124,-3
spei_36m__1yr_wy7__QFCD_D3,Dataset_157,0.425094631,daintree,235,1758,1993,0.425094631,0
spei_36m__1yr_wy7__QFCD_D3,Dataset_467,0.424417186,daintree,1278.3,718.1,1996.4,0.424417186,4
spei_36m__1yr_wy7__QFCD_D3,Dataset_629,0.420964598,daintree,573,1403,1976,0.420964598,-2
spei_36m__1yr_wy7__QFCD_D3,Dataset_266,0.41431704,daintree,347,1646,1993,0.41431704,-5
spei_36m__1yr_wy7__QFCD_D3,Dataset_265,0.412850414,daintree,347,1646,1993,0.412850414,-5
spei_36m__1yr_wy7__QFCD_D3,Dataset_148,0.38434661,daintree,215,1781.5,1996.5,0.38434661,-3
spei_36m__1yr_wy7__QFCD_D3,Dataset_149,0.38434661,daintree,215,1781.5,1996.5,0.38434661,-3
spei_36m__1yr_wy7__QFCD_D3,Dataset_144.4,0.354397643,daintree,389.9609807,1572.984119,1962.9451,0.354397643,-2
spei_36m__1yr_wy7,Dataset_454,0.57037912,daintree,1117.9,881.2,1999.1,0.57037912,1
spei_36m__1yr_wy7,Dataset_375,0.563647951,daintree,275.1,1711.5,1986.6,0.563647951,-5
spei_36m__1yr_wy7,Dataset_396,0.563197579,daintree,280,1718,1998,0.563197579,-1
spei_36m__1yr_wy7,Dataset_467,0.550770752,daintree,1278.3,718.1,1996.4,0.550770752,-2
spei_36m__1yr_wy7,Dataset_252,0.536461243,daintree,270,1726.78,1996.91,0.536461243,4
spei_36m__1yr_wy7,Dataset_457,0.519565494,daintree,1279.2,727.9,2007.1,0.519565494,5
spei_36m__1yr_wy7,Dataset_462,0.503530116,daintree,1279.2,727.9,2007.1,0.503530116,4
spei_36m__1yr_wy7,Dataset_536,0.498217599,daintree,2078.7,-95.3,1983.4,0.498217599,-2
spei_36m__1yr_wy7,Dataset_266,0.494709815,daintree,347,1646,1993,0.494709815,-5
spei_36m__1yr_wy7,Dataset_335,0.488097718,daintree,1149,851,2000,0.488097718,4
spei_36m__1yr_wy7,Dataset_157,0.481948903,daintree,235,1758,1993,0.481948903,4
spei_36m__1yr_wy7,Dataset_148,0.481707745,daintree,215,1781.5,1996.5,0.481707745,-5
spei_36m__1yr_wy7,Dataset_149,0.481707745,daintree,215,1781.5,1996.5,0.481707745,-5
spei_36m__1yr_wy7,Dataset_437,0.481023323,daintree,861,1144,2005,0.481023323,-5
spei_36m__1yr_wy7,Dataset_265,0.472557215,daintree,347,1646,1993,0.472557215,-5
spei_36m__1yr_wy7,Dataset_156,0.464147765,daintree,542,1457,1999,0.464147765,1
spei_36m__1yr_wy7,Dataset_441,0.461341184,daintree,2079.1,-95.1,1984,0.461341184,-2
spei_36m__1yr_wy7,Dataset_464,0.457016854,daintree,1278.3,718.1,1996.4,0.457016854,-4
spei_36m__1yr_wy7,Dataset_153,0.446333472,daintree,384,1617.5,2001.5,0.446333472,0
spei_36m__1yr_wy7,Dataset_154,0.446333472,daintree,384,1617.5,2001.5,0.446333472,0
spei_36m__1yr_wy7,Dataset_586,0.436967288,daintree,443,1551,1994,0.436967288,-3
spei_36m__1yr_wy7,Dataset_465,0.435026378,daintree,1278.3,718.1,1996.4,0.435026378,-4
spei_36m__1yr_wy7,Dataset_277,0.428572146,daintree,335,1657.75,1992.75,0.428572146,3
spei_36m__1yr_wy7,Dataset_342,0.426599512,daintree,1382,627,2009,0.426599512,-5
spei_36m__1yr_wy7,Dataset_144.3,0.422235597,daintree,446.3,1557.2,2003.5,0.422235597,3
spei_36m__1yr_wy7,Dataset_237,0.386949411,daintree,451,1547,1998,0.386949411,5
spei_36m__1yr_wy7,Dataset_150,0.386726574,daintree,215,1781.5,1996.5,0.386726574,-5
