year,climate_variable_recon,lower,upper,climate_variable_recon_scale,lower_scale,upper_scale
1849,866.42,628.1,1189.55,-0.07,-1.47,1.11
1850,790.96,601.15,1041.98,-0.44,-1.68,0.64
1851,902.35,651.1,1241.48,0.1,-1.3,1.26
1852,688.57,505.11,933.58,-1.05,-2.57,0.23
1853,751.32,538.08,1049.62,-0.66,-2.24,0.67
1854,758.18,561.93,1035.21,-0.62,-2.02,0.62
1855,839.75,614.06,1154.02,-0.19,-1.58,1.01
1856,1029.43,719.62,1484.68,0.6,-0.85,1.83
1857,792.01,582.03,1097.54,-0.44,-1.84,0.83
1858,1161.82,818.13,1667.54,1.03,-0.3,2.18
1859,987.25,688.37,1437.6,0.44,-1.05,1.73
1860,848.22,626.33,1162.06,-0.15,-1.49,1.03
1861,765.86,549.5,1074.71,-0.58,-2.13,0.76
1862,941.67,691.92,1284.54,0.26,-1.03,1.37
1863,1282.29,881.81,1887.25,1.37,0,2.53
1864,816.35,590.82,1141.99,-0.31,-1.77,0.97
1865,819.6,587.83,1150.29,-0.29,-1.79,1
1866,783.08,591.95,1040.63,-0.48,-1.76,0.64
1867,935.27,665.15,1330.27,0.24,-1.21,1.49
1868,748.43,550.94,1021.64,-0.68,-2.12,0.57
1869,1231.84,880.83,1765.62,1.23,-0,2.34
1870,772.76,564.54,1062.85,-0.54,-1.99,0.72
1871,768.89,567.71,1042.72,-0.56,-1.97,0.65
1872,945.42,694.15,1310.87,0.28,-1.01,1.44
1873,884.24,654.31,1227.79,0.01,-1.28,1.22
1874,977.92,729.7,1343.33,0.41,-0.79,1.52
1875,924.6,693.81,1238.11,0.19,-1.01,1.25
1876,944.03,718.71,1283,0.27,-0.86,1.37
1877,1045.15,772.28,1431.91,0.65,-0.54,1.72
1878,1088.36,801.53,1474.28,0.8,-0.39,1.81
1879,1004.74,759.03,1348.82,0.51,-0.62,1.53
1880,1183.67,856.06,1648.64,1.1,-0.12,2.15
1881,1541.36,1124.72,2192.81,1.95,0.92,2.92
1882,762.28,580.14,1006.15,-0.6,-1.86,0.51
1883,886.6,666.7,1223.03,0.03,-1.2,1.21
1884,667.89,513.74,897.57,-1.19,-2.48,0.07
1885,750.45,581.56,1000.58,-0.67,-1.85,0.49
1886,1150.2,843.22,1594.43,1,-0.18,2.05
1887,787.84,585.53,1086.73,-0.46,-1.81,0.8
1888,748.85,569.6,1003.41,-0.68,-1.95,0.5
1889,1741.49,1741.49,1741.49,2.3,2.3,2.3
1890,849.03,849.03,849.03,-0.08,-0.08,-0.08
1891,1273.11,1273.11,1273.11,1.37,1.37,1.37
1892,2115.83,2115.83,2115.83,2.81,2.81,2.81
1893,1051.1,1051.1,1051.1,0.72,0.72,0.72
1894,826.41,826.41,826.41,-0.19,-0.19,-0.19
1895,1026.56,1026.56,1026.56,0.63,0.63,0.63
1896,723.38,723.38,723.38,-0.74,-0.74,-0.74
1897,1445.09,1445.09,1445.09,1.76,1.76,1.76
1898,686.13,686.13,686.13,-0.97,-0.97,-0.97
1899,848.77,848.77,848.77,-0.09,-0.09,-0.09
1900,811.55,811.55,811.55,-0.27,-0.27,-0.27
1901,479.84,479.84,479.84,-2.7,-2.7,-2.7
1902,816.13,816.13,816.13,-0.24,-0.24,-0.24
1903,1019.74,1019.74,1019.74,0.61,0.61,0.61
1904,784.77,784.77,784.77,-0.4,-0.4,-0.4
1905,918.39,918.39,918.39,0.22,0.22,0.22
1906,900.99,900.99,900.99,0.15,0.15,0.15
1907,916.83,916.83,916.83,0.21,0.21,0.21
1908,672.25,672.25,672.25,-1.07,-1.07,-1.07
1909,1057.9,1057.9,1057.9,0.74,0.74,0.74
1910,988.17,988.17,988.17,0.49,0.49,0.49
1911,753.08,753.08,753.08,-0.57,-0.57,-0.57
1912,934.79,934.79,934.79,0.29,0.29,0.29
1913,755.09,755.09,755.09,-0.56,-0.56,-0.56
1914,650.84,650.84,650.84,-1.21,-1.21,-1.21
1915,688.4,688.4,688.4,-0.96,-0.96,-0.96
1916,896.91,896.91,896.91,0.13,0.13,0.13
1917,961.62,961.62,961.62,0.39,0.39,0.39
1918,539.29,539.29,539.29,-2.1,-2.1,-2.1
1919,575.77,575.77,575.77,-1.78,-1.78,-1.78
1920,1019.24,1019.24,1019.24,0.61,0.61,0.61
1921,832.8,832.8,832.8,-0.16,-0.16,-0.16
1922,638.63,638.63,638.63,-1.3,-1.3,-1.3
1923,772.67,772.67,772.67,-0.47,-0.47,-0.47
1924,1060.65,1060.65,1060.65,0.75,0.75,0.75
1925,650.84,650.84,650.84,-1.21,-1.21,-1.21
1926,1104.83,1104.83,1104.83,0.89,0.89,0.89
1927,1278.72,1278.72,1278.72,1.38,1.38,1.38
1928,915.37,915.37,915.37,0.21,0.21,0.21
1929,959.91,959.91,959.91,0.39,0.39,0.39
1930,942.54,942.54,942.54,0.32,0.32,0.32
1931,674.07,674.07,674.07,-1.05,-1.05,-1.05
1932,713.94,713.94,713.94,-0.8,-0.8,-0.8
